"","surp","y_lower","y_upper","y","delta","lang","model","linear"
"7553",11.5,31.2165315252037,37.8332431670729,34.9206501889611,19.1872105781559,"gr","monot_all","non-linear"
"7554",11.6,31.5689602001366,38.1992804629977,35.2717772754889,19.1872105781559,"gr","monot_all","non-linear"
"7555",11.7,31.9245928673794,38.5644122036161,35.6235828672709,19.1872105781559,"gr","monot_all","non-linear"
"7556",11.8,32.2834183245123,38.9286415551063,35.9760645919856,19.1872105781559,"gr","monot_all","non-linear"
"7557",11.9,32.6454253691157,39.2919716836464,36.329220077311,19.1872105781559,"gr","monot_all","non-linear"
"7558",12,33.0106027987697,39.6544057554147,36.6830469509255,19.1872105781559,"gr","monot_all","non-linear"
"7559",12.1,33.3789394110545,40.0159469365895,37.0375428405073,19.1872105781559,"gr","monot_all","non-linear"
"7560",12.2,33.7504240035504,40.3765983933489,37.3927053737346,19.1872105781559,"gr","monot_all","non-linear"
"7561",12.3,34.1250453738377,40.7363632918712,37.7485321782857,19.1872105781559,"gr","monot_all","non-linear"
"7562",12.4,34.5027923194964,41.0952447983346,38.1050208818388,19.1872105781559,"gr","monot_all","non-linear"
"7563",12.5,34.8836536381068,41.4532460789173,38.4621691120722,19.1872105781559,"gr","monot_all","non-linear"
"7564",12.6,35.2676181272493,41.8103702997976,38.819974496664,19.1872105781559,"gr","monot_all","non-linear"
"7565",12.7,35.6546745845039,42.1666206271536,39.1784346632925,19.1872105781559,"gr","monot_all","non-linear"
"7566",12.8,36.0398800462758,42.522151458122,39.537547239636,19.1872105781559,"gr","monot_all","non-linear"
"7567",12.9,36.3593595325352,42.8865217606139,39.8973098533727,19.1872105781559,"gr","monot_all","non-linear"
"7568",13,36.6797269300387,43.2501054047264,40.2577201321808,19.1872105781559,"gr","monot_all","non-linear"
"7569",13.1,37.0009789864707,43.6129052718976,40.6187757037386,19.1872105781559,"gr","monot_all","non-linear"
"7570",13.2,37.3231124495158,43.9749242435655,40.9804741957243,19.1872105781559,"gr","monot_all","non-linear"
"7571",13.3,37.6461240668584,44.3361652011683,41.3428132358162,19.1872105781559,"gr","monot_all","non-linear"
"7572",13.4,37.9700105861831,44.696631026144,41.7057904516925,19.1872105781559,"gr","monot_all","non-linear"
"7573",13.5,38.2947687551742,45.0563245999306,42.0694034710314,19.1872105781559,"gr","monot_all","non-linear"
"7574",13.6,38.6203953215162,45.4152488039662,42.4336499215111,19.1872105781559,"gr","monot_all","non-linear"
"7575",13.7,38.9468870328937,45.773406519689,42.79852743081,19.1872105781559,"gr","monot_all","non-linear"
"7576",13.8,39.2742406369911,46.1308006285369,43.1640336266062,19.1872105781559,"gr","monot_all","non-linear"
"7577",13.9,39.6024528814929,46.487434011948,43.5301661365779,19.1872105781559,"gr","monot_all","non-linear"
"7578",14,39.9315205140835,46.8433095513604,43.8969225884036,19.1872105781559,"gr","monot_all","non-linear"
"7579",14.1,40.2614402824474,47.1984301282123,44.2643006097612,19.1872105781559,"gr","monot_all","non-linear"
"7580",14.2,40.5922089342692,47.5527986239415,44.6322978283292,19.1872105781559,"gr","monot_all","non-linear"
"7581",14.3,40.923782767624,47.9064179199862,45.0009118717857,19.1872105781559,"gr","monot_all","non-linear"
"7582",14.4,41.2167893592315,48.2829614259965,45.370140367809,19.1872105781559,"gr","monot_all","non-linear"
"7583",14.5,41.5098409350154,48.6761646361849,45.7399809440773,19.1872105781559,"gr","monot_all","non-linear"
"7584",14.6,41.8029373206245,49.069565871459,46.1104312282688,19.1872105781559,"gr","monot_all","non-linear"
"7585",14.7,42.0960783417077,49.46316436132,46.4814888480618,19.1872105781559,"gr","monot_all","non-linear"
"7586",14.8,42.3892638239136,49.8569593352691,46.8531514311346,19.1872105781559,"gr","monot_all","non-linear"
"7587",14.9,42.6824935928911,50.2509500228075,47.2254166051653,19.1872105781559,"gr","monot_all","non-linear"
"7588",15,42.975767474289,50.6451356534363,47.5982819978323,19.1872105781559,"gr","monot_all","non-linear"
"7589",15.1,43.269085293756,51.0395154566569,47.9717452368136,19.1872105781559,"gr","monot_all","non-linear"
"7590",15.2,43.5624468769408,51.4340886619704,48.3458039497877,19.1872105781559,"gr","monot_all","non-linear"
"7591",15.3,43.8558520494924,51.828854498878,48.7204557644327,19.1872105781559,"gr","monot_all","non-linear"
"7592",15.4,44.1493006370594,52.2238121968809,49.0956983084269,19.1872105781559,"gr","monot_all","non-linear"
