"","prev_surp","y_lower","y_upper","y","delta","lang","model","linear"
"905",10,-2.80831597690331,0.397912660440352,-1.07180368029146,-0.421396275630759,"gr","mgpt_lc","non-linear"
"906",10.1,-2.74626472804275,0.444215172648766,-1.02267411203306,-0.421396275630759,"gr","mgpt_lc","non-linear"
"907",10.2,-2.68388899391563,0.489962234697982,-0.973619073738808,-0.421396275630759,"gr","mgpt_lc","non-linear"
"908",10.3,-2.62118985251402,0.535155691882502,-0.924638317808213,-0.421396275630759,"gr","mgpt_lc","non-linear"
"909",10.4,-2.55816838183003,0.579797389496831,-0.87573159664078,-0.421396275630759,"gr","mgpt_lc","non-linear"
"910",10.5,-2.49482565985573,0.623889172835471,-0.826898662636017,-0.421396275630759,"gr","mgpt_lc","non-linear"
"911",10.6,-2.43116276458323,0.667432887192924,-0.778139268193428,-0.421396275630759,"gr","mgpt_lc","non-linear"
"912",10.7,-2.3671807740046,0.71043037786369,-0.729453165712526,-0.421396275630759,"gr","mgpt_lc","non-linear"
"913",10.8,-2.30818289478388,0.752883490142273,-0.680840107592813,-0.421396275630759,"gr","mgpt_lc","non-linear"
"914",10.9,-2.25237745046031,0.794794069323174,-0.6322998462338,-0.421396275630759,"gr","mgpt_lc","non-linear"
"915",11,-2.19631752373602,0.836163960700897,-0.583832134034993,-0.421396275630759,"gr","mgpt_lc","non-linear"
"916",11.1,-2.1400039831251,0.876995009569943,-0.535436723395898,-0.421396275630759,"gr","mgpt_lc","non-linear"
"917",11.2,-2.08343769714163,0.917289061224815,-0.487113366716023,-0.421396275630759,"gr","mgpt_lc","non-linear"
"918",11.3,-2.02661953429972,0.957047960960013,-0.438861816394877,-0.421396275630759,"gr","mgpt_lc","non-linear"
"919",11.4,-1.96955036311343,0.99627355407004,-0.390681824831966,-0.421396275630759,"gr","mgpt_lc","non-linear"
"920",11.5,-1.91223105209688,1.04132507491696,-0.342573144426797,-0.421396275630759,"gr","mgpt_lc","non-linear"
"921",11.6,-1.85466246976414,1.09048622012936,-0.294535527578877,-0.421396275630759,"gr","mgpt_lc","non-linear"
"922",11.7,-1.7968454846293,1.13907313026846,-0.246568726687714,-0.421396275630759,"gr","mgpt_lc","non-linear"
"923",11.8,-1.73878096520645,1.21750969459968,-0.198672494152816,-0.421396275630759,"gr","mgpt_lc","non-linear"
"924",11.9,-1.68964987200936,1.29726804091161,-0.150846582373689,-0.421396275630759,"gr","mgpt_lc","non-linear"
"925",12,-1.65853475184875,1.37626530188701,-0.103090743749841,-0.421396275630759,"gr","mgpt_lc","non-linear"
"926",12.1,-1.62693391555843,1.45450416678832,-0.0554047306807788,-0.421396275630759,"gr","mgpt_lc","non-linear"
"927",12.2,-1.59484908548135,1.53198732487797,-0.00778829556601007,-0.421396275630759,"gr","mgpt_lc","non-linear"
"928",12.3,-1.56228198396049,1.6087174654184,0.0397588091949577,-0.421396275630759,"gr","mgpt_lc","non-linear"
"929",12.4,-1.52923433333881,1.68469727767205,0.0872368312026169,-0.421396275630759,"gr","mgpt_lc","non-linear"
"930",12.5,-1.49570785595926,1.75992945090136,0.134646018057462,-0.421396275630759,"gr","mgpt_lc","non-linear"
"931",12.6,-1.46170427416483,1.83441667436876,0.181986617359984,-0.421396275630759,"gr","mgpt_lc","non-linear"
"932",12.7,-1.42722531029847,1.91038016527863,0.229258876710677,-0.421396275630759,"gr","mgpt_lc","non-linear"
"933",12.8,-1.39227268670314,1.98937610478339,0.27646304371003,-0.421396275630759,"gr","mgpt_lc","non-linear"
"934",12.9,-1.35684812572181,2.06772316261755,0.323599365958541,-0.421396275630759,"gr","mgpt_lc","non-linear"
"935",13,-1.32095334969745,2.14542370688505,0.3706680910567,-0.421396275630759,"gr","mgpt_lc","non-linear"
"936",13.1,-1.28459008097302,2.22248010568983,0.417669466604999,-0.421396275630759,"gr","mgpt_lc","non-linear"
"937",13.2,-1.25320579436529,2.29889472713581,0.464603740203932,-0.421396275630759,"gr","mgpt_lc","non-linear"
"938",13.3,-1.23266208743204,2.37466993932693,0.511471159453993,-0.421396275630759,"gr","mgpt_lc","non-linear"
"939",13.4,-1.21168037486598,2.44980811036712,0.55827197195567,-0.421396275630759,"gr","mgpt_lc","non-linear"
"940",13.5,-1.19026228488667,2.52431160836032,0.605006425309461,-0.421396275630759,"gr","mgpt_lc","non-linear"
"941",13.6,-1.16840944571367,2.59818280141046,0.651674767115856,-0.421396275630759,"gr","mgpt_lc","non-linear"
"942",13.7,-1.14612348556654,2.67142405762148,0.698277244975348,-0.421396275630759,"gr","mgpt_lc","non-linear"
"943",13.8,-1.12340603266484,2.7440377450973,0.74481410648843,-0.421396275630759,"gr","mgpt_lc","non-linear"
"944",13.9,-1.10025871522813,2.81602623194186,0.791285599255595,-0.421396275630759,"gr","mgpt_lc","non-linear"
"945",14,-1.07668316147596,2.88739188625909,0.837691970877333,-0.421396275630759,"gr","mgpt_lc","non-linear"
"946",14.1,-1.0526809996279,2.95813707615294,0.88403346895414,-0.421396275630759,"gr","mgpt_lc","non-linear"
"947",14.2,-1.02825385790351,3.02826416972732,0.930310341086507,-0.421396275630759,"gr","mgpt_lc","non-linear"
"948",14.3,-1.00340336452234,3.09777553508618,0.97652283487493,-0.421396275630759,"gr","mgpt_lc","non-linear"
"949",14.4,-0.978131147703957,3.16667354033345,1.0226711979199,-0.421396275630759,"gr","mgpt_lc","non-linear"
"950",14.5,-0.952438835667917,3.23496055357305,1.0687556778219,-0.421396275630759,"gr","mgpt_lc","non-linear"
"951",14.6,-0.926328056633779,3.30263894290894,1.11477652218144,-0.421396275630759,"gr","mgpt_lc","non-linear"
"952",14.7,-0.899800438821103,3.36971107644503,1.160733978599,-0.421396275630759,"gr","mgpt_lc","non-linear"
"953",14.8,-0.872857610449447,3.43617932228527,1.20662829467508,-0.421396275630759,"gr","mgpt_lc","non-linear"
"954",14.9,-0.84550119973837,3.50204604853358,1.25245971801017,-0.421396275630759,"gr","mgpt_lc","non-linear"
"955",15,-0.825637700545162,3.5673136232939,1.29822849620476,-0.421396275630759,"gr","mgpt_lc","non-linear"
"956",15.1,-0.819111223703671,3.63198441467016,1.34393487685934,-0.421396275630759,"gr","mgpt_lc","non-linear"
"957",15.2,-0.812448119867574,3.6960607907663,1.38957910757442,-0.421396275630759,"gr","mgpt_lc","non-linear"
"958",15.3,-0.805648933348109,3.75954511968625,1.43516143595047,-0.421396275630759,"gr","mgpt_lc","non-linear"
"959",15.4,-0.798714208456536,3.82243976953395,1.480682109588,-0.421396275630759,"gr","mgpt_lc","non-linear"
"960",15.5,-0.791644489504098,3.88474710841332,1.52614137608749,-0.421396275630759,"gr","mgpt_lc","non-linear"
"961",15.6,-0.784440320802045,3.9464695044283,1.57153948304944,-0.421396275630759,"gr","mgpt_lc","non-linear"
"962",15.7,-0.777102246661625,4.00760932568283,1.61687667807434,-0.421396275630759,"gr","mgpt_lc","non-linear"
"963",15.8,-0.769630811394087,4.06816894028083,1.66215320876269,-0.421396275630759,"gr","mgpt_lc","non-linear"
"964",15.9,-0.76202655931068,4.12815071632624,1.70736932271497,-0.421396275630759,"gr","mgpt_lc","non-linear"
