"","surp","y_lower","y_upper","y","delta","lang","context","linear"
"629",2.5,0.782529191326628,5.38616549546426,3.82253434667005,16.2906511356002,"ge","short","non-linear"
"630",2.6,1.16163920459361,5.6543630334899,4.10162323060704,16.2906511356002,"ge","short","non-linear"
"631",2.7,1.57353992151324,5.93409977909039,4.39178124026811,16.2906511356002,"ge","short","non-linear"
"632",2.8,2.0155957813754,6.22490134232654,4.69244719570528,16.2906511356002,"ge","short","non-linear"
"633",2.9,2.48517122346997,6.52629333325915,5.0030599169706,16.2906511356002,"ge","short","non-linear"
"634",3,2.97963068708686,6.83780136194905,5.32305822411611,16.2906511356002,"ge","short","non-linear"
"635",3.1,3.49633861151596,7.15895103845703,5.65188093719384,16.2906511356002,"ge","short","non-linear"
"636",3.2,4.03265943604716,7.48926797284392,5.98896687625585,16.2906511356002,"ge","short","non-linear"
"637",3.3,4.58595759997034,7.82827777517051,6.33375486135415,16.2906511356002,"ge","short","non-linear"
"638",3.4,5.1535975425754,8.17550605549762,6.6856837125408,16.2906511356002,"ge","short","non-linear"
"639",3.5,5.67432056535055,8.53047842388606,7.04419224986784,16.2906511356002,"ge","short","non-linear"
"640",3.6,6.02436201146292,8.89272049039664,7.40871929338729,16.2906511356002,"ge","short","non-linear"
"641",3.7,6.35412832778685,9.26175786509017,7.77870366315121,16.2906511356002,"ge","short","non-linear"
"642",3.8,6.67819524134961,9.63711615802746,8.15358417921162,16.2906511356002,"ge","short","non-linear"
"643",3.9,7.01301131474466,10.0183209792693,8.53279966162057,16.2906511356002,"ge","short","non-linear"
"644",4,7.35868040288661,10.4048979388766,8.9157889304301,16.2906511356002,"ge","short","non-linear"
"645",4.1,7.71530636069008,10.79637264691,9.30199080569225,16.2906511356002,"ge","short","non-linear"
"646",4.2,8.08299304306967,11.1922707134304,9.69084410745905,16.2906511356002,"ge","short","non-linear"
"647",4.3,8.46184430493999,11.5988655846157,10.0817876557826,16.2906511356002,"ge","short","non-linear"
"648",4.4,8.85196400121566,12.0376676371753,10.4742602707148,16.2906511356002,"ge","short","non-linear"
"649",4.5,9.25330021998725,12.4774974659371,10.8677002955555,16.2906511356002,"ge","short","non-linear"
"650",4.6,9.62758613149474,12.9174642634034,11.2615435329208,16.2906511356002,"ge","short","non-linear"
"651",4.7,10.008352573976,13.3566627795824,11.6552249424673,16.2906511356002,"ge","short","non-linear"
"652",4.8,10.3979496924195,13.7941877549892,12.0481794832979,16.2906511356002,"ge","short","non-linear"
"653",4.9,10.7952589302978,14.2291339301389,12.4398421145149,16.2906511356002,"ge","short","non-linear"
"654",5,11.1991617310832,14.6605960455466,12.8296477952213,16.2906511356002,"ge","short","non-linear"
"655",5.1,11.6085395382481,15.0876688417273,13.2170314845194,16.2906511356002,"ge","short","non-linear"
"656",5.2,12.0222737952649,15.509447059196,13.6014281415121,16.2906511356002,"ge","short","non-linear"
"657",5.3,12.439245945606,15.9250254384678,13.982272725302,16.2906511356002,"ge","short","non-linear"
"658",5.4,12.8583374327438,16.3334987200579,14.3590001949916,16.2906511356002,"ge","short","non-linear"
"659",5.5,13.2784297001507,16.7339616444812,14.7310455096836,16.2906511356002,"ge","short","non-linear"
"660",5.6,13.6923928448104,17.1255089522529,15.0978436284807,16.2906511356002,"ge","short","non-linear"
"661",5.7,14.0887193719081,17.507235383888,15.4588295104855,16.2906511356002,"ge","short","non-linear"
"662",5.8,14.4826316771071,17.8782356799015,15.8134381148006,16.2906511356002,"ge","short","non-linear"
"663",5.9,14.873120047566,18.2376045808085,16.1611044005287,16.2906511356002,"ge","short","non-linear"
"664",6,15.1961904149522,18.5844368271242,16.5012633267725,16.2906511356002,"ge","short","non-linear"
"665",6.1,15.4699965685911,18.9178271593635,16.8333498526345,16.2906511356002,"ge","short","non-linear"
"666",6.2,15.7310781577185,19.2368703180416,17.1567989372174,16.2906511356002,"ge","short","non-linear"
"667",6.3,15.9757226608556,19.5406610436734,17.4710455396238,16.2906511356002,"ge","short","non-linear"
"668",6.4,16.2146081282827,19.8282940767741,17.7755246189565,16.2906511356002,"ge","short","non-linear"
"669",6.5,16.4474680553102,20.0988641578587,18.0696711343179,16.2906511356002,"ge","short","non-linear"
